targeted_customers,expected_conversions,expected_revenue,campaign_cost,net_revenue,roi,avg_uplift,avg_arpu,target_percentage,target_pct
300,200.98773603811972,15070263.847727088,1500000.0,13570263.847727088,904.6842565151392,0.27731392469201827,62484.176666666666,1,1
1500,1039.583705014077,76728436.41926509,7500000.0,69228436.41926509,923.0458189235346,0.21269022906336216,61505.738666666664,5,5
3000,2066.2292902338904,162570308.95173258,15000000.0,147570308.95173258,983.8020596782172,0.17390812231611805,65566.42,10,10
4500,2932.4176599336542,240744322.2698141,22500000.0,218244322.2698141,969.9747656436182,0.13918519083820172,68414.62977777778,15,15
6000,3093.3180586514163,271154380.00509006,30000000.0,241154380.00509006,803.8479333503002,0.10838007118001,73048.41566666667,20,20
9000,3185.6807010732746,275005433.48669887,45000000.0,230005433.48669887,511.1231855259975,0.07473577977928339,71937.90466666667,30,30
